Name,Interests,Mood,tripadvisor,img_url,Link_ggmap,Tọa độ,Vote,Reviews,Price,From,To,Địa Chỉ,,,,,,,
Chùa Tây Thiên,13,4,,https://ik.imagekit.io/tvlk/blog/2023/06/chua-tay-thien-7-1024x576.jpg,https://maps.app.goo.gl/FrUcaCPQ4iffAHcf7,"16.4325054,107.5840017",,,,,,"49, Thủy Xuân, Thành phố Huế, Thừa Thiên Huế",,,,,,,
Lăng vua Tự Đức – Khiêm Lăng,123458,179,https://www.tripadvisor.com.vn/Attraction_Review-g293926-d451128-Reviews-Tomb_of_Tu_Duc-Hue_Thua_Thien_Hue_Province.html,https://cdn.vntrip.vn/cam-nang/wp-content/uploads/2017/08/lang-minh-mang-e1503901472804.jpg,https://maps.app.goo.gl/FDnaYms6L1JwnMMW6,"16.4330054,107.5664315",4.5,7193,150000,7.00 AM,5.30 PM,"Cầu Đông Ba, thôn Thượng, Thành phố Huế, Thừa Thiên Huế 530000",,,,,,,
Làng hương,23,67,,https://static.vinwonders.com/production/lang-huong-thuy-xuan-1.jpg,https://maps.app.goo.gl/tdogExW7WCGpbDCK7,"16.4334326,107.5626565",4.4,504,0,all time,all time,"84 Huyền Trân Công Chúa, Thủy Xuân, Thành phố Huế, Thừa Thiên Huế",,,,,,,
"Narasa Hills - Edu farm, Coffee, BBQ, Camp",8,a3,,https://cdn-c23vxnm2pnze.vultrcdn.com/wordpress-media/wp-content/uploads/bA1rP6aE-309601288_164457826243211_5415467162921478059_n.jpg,https://maps.app.goo.gl/EhWBwfp5iueUE4pp8,"16.433586,107.5804572",3.1,126,,,,,,,,,,,
Lăng Kiến Phúc - Bồi Lăng,123458,179,,https://vietnamevasion.com/wp-content/uploads/2021/11/7.jpg,https://maps.app.goo.gl/9BLu5mpP7saHxexK9,"16.4342245,107.5666589",4.0,9,0,7.30 AM,5.30 PM,"CHM8+MMM, Thủy Xuân, Thành phố Huế, Thừa Thiên Huế",,,,,,,
Đàn Nam Giao,34,4,,https://ik.imagekit.io/tvlk/blog/2023/11/dan-nam-giao-cover.jpg,https://maps.app.goo.gl/Ah79onenKVnaLNJB9,"16.436234,107.58097",3.1,49,,,,,,,,,,,
Chùa Thiền Lâm - Theravada,1358,49,,https://mia.vn/media/uploads/blog-du-lich/lac-vao-chua-thien-lam-xu-chua-vang-giua-long-co-do-hue-14-1637765563.jpg,https://maps.app.goo.gl/7tG553draGuhs7KSA,"16.4383783,107.5758212",3.1,57,0,05:30,19:00,"CHQG+74H, Thủy Xuân, Thành phố Huế, Thừa Thiên Huế",,,,,,,
Chùa Diệu Viên,13,4,,https://cdn.media.dulich24.com.vn/diemden/chua-dieu-vien-5430/chua-dieu-vien.jpg,https://maps.app.goo.gl/uT1UbrGq4sNbCgvBA,"16.4386221,107.611085",4.6,35,0,all time,all time,"4/126 D. Nguyễn Hữu Cảnh, Thủy Dương, Hương Thủy, Thừa Thiên Huế, Việt Nam",,,,,,,
Chùa Từ Hiếu,13,4,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Tu_Hieu_Pagoda.jpg/640px-Tu_Hieu_Pagoda.jpg,https://maps.app.goo.gl/8VR2SG5SpEvEJmMDA,"16.4388776,107.572025",4.8,1326,0,all time,all time,"Duong Xuan Thuong III village, Thủy Xuân, Thành phố Huế, Thừa Thiên Huế",,architecture,1,,roadtrip,1,high
Hồ khe ngang,8,1a9,,https://static.vinwonders.com/production/ho-khe-ngang-0.jpg,https://maps.app.goo.gl/489N78tG6ogZ8rYo7,"16.4389243,107.4901837",3.1,40,,,,,,,,,,,
Chùa Từ Lâm,13,4,,https://image.giacngo.vn/w770/Uploaded/2024/estnselxslt/2021_04_26/10-1983.jpg,https://maps.app.goo.gl/maei7JPYfdveUBdJA,"16.4396302,107.5791786",4.6,45,0,all time,all time,"Phường, 27 Trần Thái Tông, Thủy Xuân, Thành phố Huế, Thừa Thiên Huế",,,,,,,
Chùa Viên Thông,13,4,,https://vuonhoaphatgiao.com/uploads/noidung/images/tu_vien/vien-thong.jpg,https://maps.app.goo.gl/G8Nn7YfXunmszNG19,"16.4400948,107.5931372",4.5,17,0,all time,all time,"CHRV+27J, An Tây, Thành phố Huế, Thừa Thiên Huế",,,,,,,
Liti Farm,8,1ba,,https://thanhphohue.net/wp-content/uploads/2024/03/Liti_farm_cafe_03.jpg,https://maps.app.goo.gl/4wwdeWv9SX1RmZyv6,"16.4402186,107.5492646",3.1,23,,,,,,,,,,,
Núi Ngự Bình,8,1379,,https://ik.imagekit.io/tvlk/blog/2023/05/nui-ngu-binh-9-1024x682.jpg,https://maps.app.goo.gl/cs8qAXBRLnYuLxTRA,"16.4419969,107.5925875",3.1,62,0,all time,all time,"An Cựu, Tp. Huế, Thừa Thiên Huế, Việt Nam",,,,,,,
Tượng đài Quang Trung,1358,9c,,https://reviewhue.vn/wp-content/uploads/2024/07/image-tuong-dai-vua-quang-trung-dau-an-mot-trieu-dai-tai-hue-165668241549329.jpg,https://maps.app.goo.gl/jwPUXLQYehHo1LgS7,"16.4420705,107.5914356",3.1,63,0,all time,all time,"143 Đặng Huy Trứ, An Tây, Thành phố Huế, Thừa Thiên Huế",,,,,,,
Chùa Quốc Ân,13,4,,https://thuathienhue.gov.vn/Portals/0/Medias/Nam2022/T8/M_20220804_QUOCAN1.jpg,https://maps.app.goo.gl/P1HCzgPKSsyVxPVy5,"16.4428993,107.5876173",4.4,61,0,all time,all time,"43 Đặng Huy Trứ, Thành phố Huế, Trường An, Thành phố Huế, Thừa Thiên Huế",,,,,,,
"Bảo tàng đồ sứ ký
 kiểu thời Nguyễn",2357,2,,https://thuathienhue.gov.vn/Portals/0/Medias/Nam2022/T5/ki%20kieu%20thoi%20Nguyen.jpg,https://maps.app.goo.gl/p1D5YPAEDVy1Kj2N9,"16.4445592,107.5095605",4.6,16,0,all time,all time,"114 Mai Thúc Loan, Phú Hậu, Thành phố Huế, Thừa Thiên Huế",,,,,,,
Chùa Tường Vân,13,4,,https://thuathienhue.gov.vn/Portals/0/Nam2020/anhchuatuongvan1.2022..jpg,https://maps.app.goo.gl/476rNx1Pd7Eddakw5,"16.4461048,107.577473",4.7,70,0,all time,all time,"CHWG+CXX, Trần Thái Tông, Thủy Xuân, Thành phố Huế, Thừa Thiên Huế",,,,,memorial,c,
NGUYỆT BIỀU GARDEN RIVERSIDE,89,a9,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d27746884-Reviews-Moon_Garden_Riverside-Hue_Thua_Thien_Hue_Province.html,https://dynamic-media-cdn.tripadvisor.com/media/partner/bookingcom/photo-o/2c/8f/53/cf/caption.jpg,https://maps.app.goo.gl/Z4rQfVY8zmQJC6Po6,"16.4476692,107.5317389",4.1,4,,,,,,,,,,,
Điện Voi Ré,1340,1,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Voi_r%C3%A9_1.jpg/1200px-Voi_r%C3%A9_1.jpg,https://maps.app.goo.gl/dK5yvosSgembzLsE8,"16.4482493,107.552822",4.2,66,0,all time,all time,"Ngõ 26 Kiệt, 373 Bùi Thị Xuân, Thủy Biều, Thành phố Huế, Thừa Thiên Huế",,,,,,,
Lăng vua Dục Đức – An Lăng,123458,179,,https://static.vinwonders.com/production/lang-duc-duc-banner.jpg,https://maps.app.goo.gl/3dYFQrPx4hMkLLgo8,"16.4511961,107.5929415",4.2,65,0,7.30 AM,5.30 PM,"FH2V+F5G, Phường Phước Vĩnh, Thành Phố Huế, Tỉnh Thừa Thiên Huế, An Cựu, Thành phố Huế, Thừa Thiên Huế",,,,,,,
Huyền Không Sơn Thượng,12389,49a,,https://imgcdn.tapchicongthuong.vn/tcct-media/23/8/13/lac-buoc-giua-chon-bong-lai-tien-canh-huyen-khong-son-thuong_64d87348dcd34.jpg,https://maps.app.goo.gl/mUpQsgaPDwpX8Tym8,"16.4512429,107.4941086",4.7,182,0,all time,all time," Chầm, Hương Hồ, Hương Trà, Thừa Thiên Huế",,,,,,,
Nhà lưu niệm Cụ Phan Bội Châu,57,c,,https://thuathienhue.gov.vn/Portals/0/Medias/Nam2022/T7/M_20220711_phanboichau1.jpg,https://maps.app.goo.gl/6ft7jJcXNp5ZSo7KA,"16.4513539,107.5825659",3.1,5,,,,,,,,,,,
