Name,Interests,Mood,img_url,Link_ggmap,Tọa độ,Vote,Reviews,Price,From,To,Địa Chỉ,,interest,const_num,,mood,const_num,budget
Điện Voi Ré,1340,1,,https://maps.app.goo.gl/dK5yvosSgembzLsE8,"16.4482493,107.552822",4.2,66,0,all time,all time,"Ngõ 26 Kiệt, 373 Bùi Thị Xuân, Thủy Biều, Thành phố Huế, Thừa Thiên Huế",,,,,,,
Hổ Quyền,1340,1,,https://maps.app.goo.gl/2F4X3kg4TU75w5BN9,,,,,,,,,,,,,,
Hồ Tịnh Tâm,8,379,,https://maps.app.goo.gl/8guKGb6jmJibRgs66,,,,,,,,,,,,,,
Quốc Tử Giám,134,24,,https://maps.app.goo.gl/eBXWasfFqyQLHsGDA,,,,,,,,,,,,,,
Tam Tòa Cơ Mật Viện,135,2,,https://maps.app.goo.gl/9Ha8UrPUtRvpajNn9,,,,,,,,,,,,,,
Văn Thánh Huế,13,4,,https://maps.app.goo.gl/a3YZtuSoTFM6dnyA6,,,,,,,,,,,,,,
Hải Vân Quan,10,19c,,https://maps.app.goo.gl/1MF98UXb5yjYSd778,,,,,,,,,,,,,,
Trường Quốc Học,15,2357c,,https://maps.app.goo.gl/d3ySfKGmrxBG4Qt18,,,,,,,,,,,,,,
Cầu Ngói Thanh Toàn,1234,127,,https://maps.app.goo.gl/UZxg3u9uvJF19sy59,,,,,,,,,,,,,,
sông Hương,8,379,,https://maps.app.goo.gl/dUq4zynKKGkfGs6Z9,,,,,,,,,,,,,,
nhã nhạc cung đình huế,234,3b,,"https://maps.app.goo.gl/BNXgkcNDTWDpzGXe7 
https://maps.app.goo.gl/kT28bMKMgpwkMH6NA ",,,,,,,,,,,,,,
ca huế,234,3b,,https://maps.app.goo.gl/kT28bMKMgpwkMH6NA,,,,,,,,,,,,,,
Làng hương,23,67,,https://maps.app.goo.gl/tdogExW7WCGpbDCK7,,,,,,,,,,,,,,
HTX Mây Tre Đan Bao La,23,67,,https://maps.app.goo.gl/5NPkbkTVutmG8BDd6,,,,,,,,,,,,,,
Biển Thuận An,8,189,,https://maps.app.goo.gl/ZP4PiPoyd5EhxuEV8,,,,,,,,,,,,,,
Biển Hải Dương,8,189,,https://maps.app.goo.gl/mo1588ywyezxALW38,,,,,,,,,,,,,,
Biển Lăng Cô,8,189,,https://maps.app.goo.gl/dteC559NMXtZLeey5,,,,,,,,,,,,,,
Biển Cảnh Dương,8,189,,https://maps.app.goo.gl/cKHbxRLga47cCMAf9,,,,,,,,,,,,,,
Biển Hàm Rồng,8,189,,https://maps.app.goo.gl/Liw6mbqXbddMu81z9,,,,,,,,,,,,,,
Biển Lộc Bình,8,189,,https://maps.app.goo.gl/U5M9ZD3WnqB9hHYLA,,,,,,,,,,,,,,
Đồi Thiên An,8,179,,https://maps.app.goo.gl/f7iLDfPwwemeEJP4A,,,,,,,,,,,,,,
Đồi Vọng Cảnh,8,179,,https://maps.app.goo.gl/75FKmEVJpHFnmS3Z6,,,,,,,,,,,,,,
Mỹ An arakawa,89,19a,,,,,,,,,,,,,,,,
Suối Voi,89,19a,,https://maps.app.goo.gl/ykTmeXKsZzvP8ywa9,,,,,,,,,,,,,,
Suối khe su,8,19a,,https://maps.app.goo.gl/7mWCvkYxr26xvRhb6,,,,,,,,,,,,,,
Suối Thác Nhị Hồ,8,19a,,https://maps.app.goo.gl/u7TQtr4poZ6DbP2Q9,,,,,,,,,,,,,,
Suối tiên,89,19a,,https://maps.app.goo.gl/3H2LRP9bhCHPXbca7,,,,,,,,,,,,,,
Suối Mơ,8,19a,,https://maps.app.goo.gl/S1fCdi9iRFfLkNik6,,,,,,,,,,,,,,
