osmid,y,x,street_count,ref,highway,geometry
7742605723,16.5520132,107.6014815,1,,,POINT (107.6014815 16.5520132)
7742605725,16.5514788,107.6012185,3,,,POINT (107.6012185 16.5514788)
7742605735,16.552184,107.6010835,1,,,POINT (107.6010835 16.552184)
7742605738,16.5493545,107.6155276,3,,,POINT (107.6155276 16.5493545)
7742605740,16.5486028,107.6132904,3,,,POINT (107.6132904 16.5486028)
7742605741,16.5487503,107.6163685,1,,,POINT (107.6163685 16.5487503)
7742605749,16.5447967,107.6122401,3,,,POINT (107.6122401 16.5447967)
7742605783,16.5424307,107.6167215,3,,,POINT (107.6167215 16.5424307)
7742605784,16.5421475,107.61566,3,,,POINT (107.61566 16.5421475)
7742605786,16.5433655,107.6159926,1,,,POINT (107.6159926 16.5433655)
7742605791,16.5390053,107.6112315,3,,,POINT (107.6112315 16.5390053)
7742605792,16.5393467,107.6080182,3,,,POINT (107.6080182 16.5393467)
7742605797,16.5391637,107.6108695,3,,,POINT (107.6108695 16.5391637)
7742605798,16.5395275,107.6100085,3,,,POINT (107.6100085 16.5395275)
7742605800,16.5386098,107.6094719,3,,,POINT (107.6094719 16.5386098)
7742605803,16.5401225,107.6086378,3,,,POINT (107.6086378 16.5401225)
7742605804,16.5395729,107.607471,3,,,POINT (107.607471 16.5395729)
7742605805,16.5397266,107.607172,3,,,POINT (107.607172 16.5397266)
7742605806,16.5398269,107.6069843,3,,,POINT (107.6069843 16.5398269)
7742605810,16.5399987,107.6077061,1,,,POINT (107.6077061 16.5399987)
7742605815,16.5405588,107.6076588,3,,,POINT (107.6076588 16.5405588)
7742605820,16.5420492,107.6077356,1,,,POINT (107.6077356 16.5420492)
7742605823,16.5404062,107.5991696,3,,,POINT (107.5991696 16.5404062)
7742605824,16.5399287,107.5992232,1,,,POINT (107.5992232 16.5399287)
7742605825,16.5404309,107.59947,3,,,POINT (107.59947 16.5404309)
7742605826,16.5399647,107.5995236,1,,,POINT (107.5995236 16.5399647)
7742605827,16.5388279,107.6043046,1,,,POINT (107.6043046 16.5388279)
7742605831,16.5369231,107.5996594,3,,,POINT (107.5996594 16.5369231)
7742605832,16.5368337,107.5993862,3,,,POINT (107.5993862 16.5368337)
7742605834,16.5366633,107.5987639,3,,,POINT (107.5987639 16.5366633)
7742605838,16.5378333,107.6002337,3,,,POINT (107.6002337 16.5378333)
7742605839,16.5375767,107.5994713,3,,,POINT (107.5994713 16.5375767)
7742605841,16.5358192,107.6001828,3,,,POINT (107.6001828 16.5358192)
7742605842,16.5343199,107.5997986,3,,,POINT (107.5997986 16.5343199)
7742605843,16.537342,107.5986035,3,,,POINT (107.5986035 16.537342)
7742605845,16.5379414,107.6005519,3,,,POINT (107.6005519 16.5379414)
7742605846,16.5374107,107.6007302,3,,,POINT (107.6007302 16.5374107)
7742605847,16.5380308,107.6008037,3,,,POINT (107.6008037 16.5380308)
7742605866,16.5340398,107.6007164,3,,,POINT (107.6007164 16.5340398)
7742605871,16.5402416,107.6072102,1,,,POINT (107.6072102 16.5402416)
7742635289,16.6228223,107.5211871,3,,,POINT (107.5211871 16.6228223)
7742635292,16.622776,107.5219339,3,,,POINT (107.5219339 16.622776)
7742635293,16.6237613,107.5212729,3,,,POINT (107.5212729 16.6237613)
7742635294,16.6294324,107.5119733,3,,,POINT (107.5119733 16.6294324)
7742635297,16.6304783,107.5115942,3,,,POINT (107.5115942 16.6304783)
7742635301,16.6316567,107.5108405,3,,,POINT (107.5108405 16.6316567)
7742635302,16.6307227,107.5102061,3,,,POINT (107.5102061 16.6307227)
7742635303,16.6300125,107.5111368,3,,,POINT (107.5111368 16.6300125)
7742635304,16.6323468,107.5101686,3,,,POINT (107.5101686 16.6323468)
7742635305,16.6321207,107.5105065,3,,,POINT (107.5105065 16.6321207)
7742635308,16.632555,107.5097502,3,,,POINT (107.5097502 16.632555)
7742635309,16.6326328,107.5095443,3,,,POINT (107.5095443 16.6326328)
7742635310,16.6327247,107.5093015,3,,,POINT (107.5093015 16.6327247)
7742635311,16.6327761,107.5091681,3,,,POINT (107.5091681 16.6327761)
7742635316,16.6330416,107.5106361,1,,,POINT (107.5106361 16.6330416)
7742635317,16.6315091,107.5090286,3,,,POINT (107.5090286 16.6315091)
7742635320,16.631696,107.5087416,3,,,POINT (107.5087416 16.631696)
7742635321,16.6332978,107.5096375,1,,,POINT (107.5096375 16.6332978)
7742635325,16.6352203,107.5176841,3,,,POINT (107.5176841 16.6352203)
7742635333,16.6288293,107.5130385,3,,,POINT (107.5130385 16.6288293)
7742635334,16.6372462,107.5190386,3,,,POINT (107.5190386 16.6372462)
7742635336,16.6302396,107.5236939,4,,,POINT (107.5236939 16.6302396)
7742635343,16.635832,107.5246847,1,,,POINT (107.5246847 16.635832)
7742635345,16.6351239,107.5243413,3,,,POINT (107.5243413 16.6351239)
7742635350,16.6303064,107.5259882,4,,,POINT (107.5259882 16.6303064)
7742635351,16.6314782,107.523698,3,,,POINT (107.523698 16.6314782)
7742635352,16.632023,107.5294806,3,,,POINT (107.5294806 16.632023)
7742635356,16.6304656,107.526726,3,,,POINT (107.526726 16.6304656)
7742635357,16.6301573,107.5262646,3,,,POINT (107.5262646 16.6301573)
7742635359,16.6299593,107.5259588,3,,,POINT (107.5259588 16.6299593)
